old                                      new
002c76ccbfed7b1c8b7c13313b887aaebf610a3e 9ad1e4507bdc8e5d2a3f75387f3af86675bf69ab
0607d7375edd6996ba18a5580fa7c544f9bb7c6f 5ed418f014c4640d73510af93a570d5cfeb646ed
07a79186a701afee93d3ae8d8dd77a7b50b702ae f676981e508d007694850125eca139aee32043ce
0a1b20858f00a4b06ee937a2c7f800d9fb72bfc0 43e260c42602bb3094afc8d68afe20cc5ef32d52
0a3b3e9369bdb08b6cfd9a4e711f943f20e80514 f97aa17aa9216076072bff33b89ef240449d363c
0afbb2b0fa440d84756b88dc984f594c0d8145a7 349ba50b4721de361c1909f32a418acc67b7ce96
0c0525d89305319871def8b46afa2e30958b5d5c 2874ceaf8a3212fcbe03aeff0e4a21375678d70d
0ccfdcf42fa669e1ee057a44984c10ebc5939dff 4e21741c88462c7d2000f82ac8b6a5a83a62a4a0
0d7ca3706067cb690413cde4643c23c75b9cc619 743ac886e3d18a52c5292ea0eecb5118a4c7afdc
12b10c58214ce93c89e9524359667a85a6be5611 c565cc63386ceabb0d5f44e1d9a54a9a725ea208
1b6251455481efdf39a879979ba7b4473300d49f f8a9a97d2bd2193646580b791cad5cd6a6ceda05
2103fd55bbd1d0fe785c137c57c5ef8f76cd429d 20c14153be83bd7fd814c7d2936300bda99b34b3
234bc6f2e4f9302efddbb9e5d6a7a89b23233e5e dc681886006100f445b4eb3585e3e207f6eb31db
2adc571a464731ad29eabe6e8a0f00545d9e4fd3 ef4b0faed43cfa62cead7fd6480931ea4acd7121
2b7ae64303844cf7184619d4426e3ed24d3b2a45 49dba344f970f76aede60dd534543a131745fcef
2f105ff463bc9b281b19655ba711b1ca7dee8759 d7fcff7e27b4c46b1121df8988a0b2fb76d56804
3055a816d110defc20c85c3886dcdb3ea8f06388 3e6415752acbfb4d88c2de2f4242d2be10761eab
31a04c6bb30622c9f62ed1306e29253f34d333ae 0fddb76949fc6918f1fd039ec2a22bf35e594703
326ca62629bb411f075ea864e3207bda49091655 a2fd13ac71b22c8ed6ac9e31d4f2ea3dbe68169a
36a6a24236d792bc04cd4625e8250ce0d496aae8 bdbefd325da2bd0402334392426577197a509ecb
3e596d509b2a7b9bc6b7e826d370d62c28611a46 da2d7392bd829726f2c6fdb19cfa9b298a9c9db2
406de8df8d9a43b31f9b25d5a4a561492b207a9a bcb6ee3275a80efda3bd03c0e7f8060cd602130d
42b419d650787e2caa4c52105949b83a43c8ea6a 525000c97526bf169056e097c2ac450b6b43f48d
45848399cc793888eb2edab79df71d51d3d980eb 39ce4f1239863d2eef917811c1c0e965468a6bb0
476a54bcc1280bcf1bc438071aeb3e62206c1097 f34b3b6a20dbafc41fc66406730817ab14c792ce
491fadb6c63bb0a9a6773358ee7381c69a52473c d41c358192b2334f7865992a3e138d33031d0d90
4949fd40b45e356d79ab4d04be3ad70038136dca 438ce7e774dd31525b03c715d7a8d8ff5b705542
4b65078212509978e153f4dcbf6cb055f2787118 e9a785b2faede4b0913b6b846ac6deab45e913f0
57601f6e528173152abba7b46108b08beec1bd75 3cb723d2912cf8ac017891a8c45715d792af4f06
590b97a5c9c590717de99808d16b0fbebc628237 cffe7429ec5afb6a76da0317b5cab3e64bc46f23
5efe7dd4d189b05eaf2b87eefd5a0f65973f6596 1420461ad17bc06559a0da066e833e5c62065ca3
6047704487739a0105215babdcd82e5d0a4ea1f2 b163fb2e835f533079bd5e2144407a785ce03f5f
61a9cca044045c946c9b1e07b3aa873e6534652c adfe8cc2741770e6c1aac7925a5a74f3488c00bd
624f62edcb3f2ec456ff62baedc133cc7cd6875d bf47f6f10a8a79bf9e3d4a319d66722c2063963b
631ef9e7f149033cd7ec966fabf115fa3f1aa77a d1f6d29324ce8c7cfc215b5dda6e34a0c485ee87
64863a181db98653e09d875f19a0f32020543231 5521118a9dc15b10b693e21abe3b7f06cc874820
64bf0b6ea86a3bbab0d0c79215f1dc881c1cc611 f813ec725e48a663cf4ac3912b083ec15f103335
64f7711e9374ed2f3efd768cd33eaf0bd31721c3 a51ddc08d021f03cfc54cb6dc085031f1e616e21
66034b506c8a0dbaa79922251d5a7c0b6c5344ba 5e5d1a4f949f57f1d667f157e6ac63fab76d3a0b
6c85956ff68674be0fa24d2aa2dc30d5b5a08223 b6dbe938046a2cbf72f295dd8bb13656ed246b6d
743db62a46b99c9d03a4941ece895c0dc0ef20ca 17ce2644cadef9298512c8315e81fd27d40d6081
74f2e3c1a74b47f1a043b58ef65640a13db0a358 131d866d971d6b056f17f14ec6303d5d0f673b8e
7d0330a617bbb8942b0274a28d109afa498ec821 f25f98822834a3230a0b90341733966e4891748b
80a6c0be094090fc5ecbf682623f5b3b30cecd19 b929ac63346c8b6d646f0db134cc526be99e9c50
8124cb852d1121bf6497b5eb7c73c2be4f41cf86 7a2247428cd80e3c5da5d59e0062170cad4def33
82215fadc2814aad977da519948cfd44c0461992 7f32b513c1365d9f73d6b52221f6c5e146ab754a
8750973f92f7e0afd0e9dfc49f5a9b764f26a6bc 3773d37ab4c499e47deff77cbed12c85713395e8
87d1d13ae1a56dde6f5cc0a153cbb7a1221f1b10 38cad629436ce949b206bca902bb9274a77ed77e
8e1100e8ca35a314b17b06816aa51b78adac68dd 5267b723a5fcc983e22071a18399d4f3283bbd21
91a50ece9b7d94897518ec1d975465e575804433 2813a4b5dca922fc11d93f273283842e056223aa
93d83e838ea0394498934befaa064f8abd600ef5 8aa83849517ebc6e8f88c94fd91f53920a2fe112
986511bb6a3721aa2e5d29bf46e773c9aad2b5b6 259c0da5f2cd3fed5e8e7d0a506832e3753b17b9
98e7d46498e29877791b9b74f54f8bd537b8bcd9 1dd92f3324e1b42275bd1d2a4a88186409b3ccaa
a674f1112aaa7bb58a8aaf660ee8e7088facb454 f07cbe9440f556545a6f4e11ac69de89869ea2b3
a8156f9bcfb725af2d138e694cc5618fd6e5ed1e 65ab260d1e74308c168cbcd7277539de8266fd29
ac086f505fd199b84d226ccf598019dc628eebf1 00bff5161bd8def350ab3f93f87bdaaf1b760c2e
ad089b3d6daa58756efa10211b29a8aa3f86014a 847fbcab91295073d95c63af0f139af473d22ade
ae15577ebe23e8806f2ce5313c12271032850b02 3fa5a3a22e76dfe3ca4e3051e48636e63edaecb0
b66be9e559a5865269cc4885a5d65f5c32bc848a fdf416f2f968c64280a12cd9218141fce4fc7148
b6fdceb4daa26104081ec698417671e8745f08e9 1d2ea1c9e0204d98bd5fad90bb38109574f12680
bbcb407cba9af8faa9e7330cea7b59d065b2dffb ee4675b1c3df449d143497e597a145e9d789e82e
bc77e5d9f076b7ec9f78f7c67bdae66693f579f2 d65d53bbdeec2784b8f3bd596835b640529586b4
bdaab8fb90e028f1d53023792fb09468fd7500ef cd0ba7f1d4079f4743cdecfcfa643d264ccb5115
c0360fc86d3dcb9da9577e033ea90d87ddb6d9e5 52cf06f953acdeb2bbd0447cfe6dfca9dd85c7a7
c41cce4ef633560374e2f7c137790aac389d7983 c9f5f57093838791b98ddaf52e9c4c3ad0b9961a
c483c63d097321107f28fc74a841c116e7207274 3321bbd19c1795eaecbbc79c2b68c62af97426ce
c528e3125e6dcd1e7eea86d4f130ef14176b7640 f3d2798388684c9f1ef71fb8f883a10d325f1049
c70e1a7febc11d19f40068bf210d782f5a9f01dd 358573a13f1608e5267e9c9c8c90bacf641d363c
c75eb898a28bb404eec3bb56efb8be3c6e600961 059fb0c12902869be038f3f77b504fdea7939c59
c8b1f7bc404e9b506aa5d7d5f9e7d8b7978271be c06cc31388bb6f60349154ad5c99e278bf1e3dcb
